Sequence,Mean Δt (frames),#Matching Points,Δt Values
M037_034_0_0_condition_M003.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M005.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M007.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M009.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M011.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M012.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M013.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M019.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M022.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M023.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M024.npy,6.00,3,5;5;8
M037_034_0_0_condition_M025.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M026.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M027.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M028.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M029.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M030.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_M031.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W009.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W011.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W014.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W015.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W016.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W018.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W019.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W021.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W023.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W024.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W025.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W026.npy,5.50,4,4;5;5;8
M037_034_0_0_condition_W028.npy,5.50,4,4;5;5;8
